,Date,Hour,Purchase Bid (MWh),Sell Bid (MWh),MCV (MWh),Final Scheduled Volume (MWh),MCP (Rs/MWh) *,Weighted MCP (Rs/MWh)
196,09-01-2025,5,11274.28,27575.95,8830.08,8830.08,2666.4,2666.23
197,09-01-2025,6,11503.88,20058.38,8209.15,8209.15,3065.18,3058.93
198,09-01-2025,7,15213.4,11681.33,9093.85,9093.85,4857.58,4818.4
199,09-01-2025,8,21278.73,6835.48,6835.48,6835.48,10000.0,10000.0
200,09-01-2025,9,22804.55,7623.28,7623.25,7623.25,10000.0,10000.0
201,09-01-2025,10,19834.2,9665.03,9398.23,9398.23,8852.33,8816.51
202,09-01-2025,11,15805.23,10571.63,8290.93,8290.93,4596.27,4616.57
203,09-01-2025,12,12893.33,13698.83,6988.52,6988.52,3476.08,3475.78
204,09-01-2025,13,10701.75,16229.03,7093.68,7093.68,3105.29,3105.21
205,09-01-2025,14,10427.88,20888.8,7474.48,7474.48,2926.84,2926.88
206,09-01-2025,15,12167.18,21570.75,8216.15,8216.15,3169.31,3169.65
207,09-01-2025,16,14097.28,17877.35,9174.8,9174.8,3431.49,3439.83
208,09-01-2025,17,17000.1,10584.98,9380.8,9380.8,5827.4,5690.14
209,09-01-2025,18,20240.63,5759.63,5759.62,5759.62,10000.0,10000.0
210,09-01-2025,19,29692.43,5562.0,5561.99,5561.99,10000.0,10000.0
211,09-01-2025,20,20496.98,5758.1,5758.1,5758.1,10000.0,10000.0
212,09-01-2025,21,13982.55,8474.9,7085.77,7085.77,5208.28,5217.02
213,09-01-2025,22,10592.5,12207.98,5924.75,5924.75,3697.58,3712.37
214,09-01-2025,23,9165.8,15460.63,5443.3,5443.3,3205.27,3202.29
215,09-01-2025,24,10124.65,22102.38,6502.34,6502.34,3122.73,3122.34
216,10-01-2025,1,11079.85,24718.98,8259.05,8259.05,2767.09,2764.56
217,10-01-2025,2,11124.4,26558.63,9018.26,9018.26,2574.2,2573.46
218,10-01-2025,3,10807.8,27861.6,9210.95,9210.95,2361.26,2361.25
219,10-01-2025,4,10665.58,27800.15,9170.69,9170.69,2282.6,2282.65
220,10-01-2025,5,10556.03,25236.15,8800.03,8800.03,2487.77,2485.68
221,10-01-2025,6,10799.0,19452.7,7858.21,7858.21,2985.9,2981.96
222,10-01-2025,7,14170.18,11633.6,8469.29,8469.29,4685.2,4708.71
223,10-01-2025,8,22156.08,6983.38,6945.87,6945.87,10000.0,10000.0
224,10-01-2025,9,21760.25,8040.78,8040.77,8040.77,10000.0,10000.0
225,10-01-2025,10,19441.35,9168.75,9015.82,9015.82,9250.22,9209.37
226,10-01-2025,11,16093.68,10808.8,8377.78,8377.78,4747.99,4760.41
227,10-01-2025,12,13761.98,13438.78,6919.46,6919.46,3620.34,3620.32
228,10-01-2025,13,11225.1,16282.15,6424.18,6424.18,3428.7,3427.96
229,10-01-2025,14,10643.18,20567.58,7473.08,7473.08,2980.66,2980.36
230,10-01-2025,15,11374.15,20265.85,7217.95,7217.95,3127.14,3127.17
